p	T	rho	z
0.049140	115.70	0.011800	57.849
0.049960	115.10	0.012060	57.552
0.050800	114.70	0.012300	57.258
0.051640	114.60	0.012520	56.965
0.052500	113.40	0.012870	56.674
0.053380	110.80	0.013390	56.385
0.054280	111.10	0.013580	56.098
0.055190	110.30	0.013910	55.812
0.056120	111.40	0.014000	55.528
0.057050	111.40	0.014230	55.245
0.057980	113.50	0.014190	54.962
0.058920	112.50	0.014560	54.681
0.059880	110.40	0.015070	54.400
0.060880	108.80	0.015550	54.120
0.061870	113.90	0.015100	53.840
0.062860	114.10	0.015310	53.560
0.063860	113.70	0.015610	53.280
0.064880	115.20	0.015650	53.001
0.065910	113.90	0.016080	52.720
0.066970	113.80	0.016350	52.440
0.068040	114.10	0.016560	52.159
0.069140	111.90	0.017170	51.878
0.070270	113.80	0.017150	51.596
0.071420	111.20	0.017850	51.313
0.072590	113.30	0.017800	51.030
0.073770	114.00	0.017980	50.745
0.074970	114.50	0.018200	50.460
0.076200	113.00	0.018740	50.174
0.077450	114.40	0.018810	49.887
0.078720	113.80	0.019220	49.599
0.080020	114.30	0.019450	49.310
0.081340	114.60	0.019720	49.020
0.082700	112.60	0.020420	48.729
0.084100	112.80	0.020720	48.437
0.085510	115.40	0.020580	48.143
0.086900	119.10	0.020270	47.848
0.088360	112.90	0.021750	47.551
0.089890	113.30	0.022040	47.251
0.091420	117.00	0.021710	46.949
0.093010	111.30	0.023220	46.645
0.094650	115.30	0.022810	46.338
0.096310	115.00	0.023280	46.029
0.098040	111.00	0.024540	45.718
0.099830	112.60	0.024640	45.404
0.10160	113.60	0.024860	45.088
0.10350	119.00	0.024160	44.771
0.10530	113.90	0.025690	44.451
0.10730	111.90	0.026630	44.130
0.10930	112.60	0.026970	43.806
0.11130	111.80	0.027670	43.482
0.11350	110.50	0.028530	43.156
0.11560	113.40	0.028320	42.829
0.11780	114.50	0.028590	42.500
0.12000	114.80	0.029040	42.171
0.12230	114.60	0.029640	41.840
0.12460	114.70	0.030190	41.509
0.12700	111.60	0.031600	41.176
0.12940	112.20	0.032060	40.843
0.13190	112.00	0.032720	40.509
0.13450	113.00	0.033080	40.175
0.13710	113.40	0.033590	39.841
0.13970	114.10	0.034010	39.506
0.14240	114.60	0.034520	39.172
0.14520	108.70	0.037120	38.836
0.14800	116.10	0.035400	38.502
0.15080	110.70	0.037870	38.167
0.15370	117.00	0.036530	37.832
0.15670	111.30	0.039120	37.498
0.15980	108.10	0.041080	37.164
0.16300	111.50	0.040620	36.830
0.16620	109.50	0.042150	36.498
0.16940	109.70	0.042920	36.166
0.17280	109.60	0.043800	35.835
0.17620	108.70	0.045060	35.505
0.17970	107.10	0.046630	35.176
0.18320	110.60	0.046020	34.849
0.18680	107.90	0.048100	34.522
0.19040	112.70	0.046940	34.197
0.19400	111.90	0.048160	33.873
0.19770	109.00	0.050380	33.550
0.20140	111.70	0.050120	33.228
0.20520	110.30	0.051700	32.907
0.20900	113.50	0.051180	32.588
0.21290	109.20	0.054180	32.270
0.21690	113.70	0.053000	31.954
0.22080	115.80	0.052980	31.639
0.22480	109.30	0.057130	31.325
0.22890	114.30	0.055650	31.012
0.23300	112.50	0.057530	30.701
0.23720	109.90	0.059990	30.391
0.24150	110.40	0.060790	30.084
0.24590	110.30	0.061920	29.777
0.25030	109.50	0.063500	29.473
0.25470	114.10	0.062060	29.171
0.25920	111.80	0.064440	28.870
0.26380	109.00	0.067250	28.570
0.26840	112.50	0.066300	28.273
0.27290	113.80	0.066660	27.977
0.27760	112.70	0.068410	27.683
0.28220	113.20	0.069280	27.391
0.28690	116.70	0.068290	27.100
0.29150	117.20	0.069120	26.811
0.29620	116.30	0.070780	26.523
0.30090	117.80	0.070950	26.236
0.30560	120.40	0.070550	25.951
0.31030	120.20	0.071750	25.667
0.31510	119.70	0.073120	25.385
0.31990	119.90	0.074110	25.104
0.32470	120.20	0.075060	24.824
0.32960	120.30	0.076120	24.545
0.33460	120.60	0.077100	24.268
0.33960	121.30	0.077810	23.992
0.34450	121.90	0.078510	23.718
0.34950	122.70	0.079190	23.445
0.43540	129.66	0.094870	18.508
0.43772	129.74	0.095320	18.403
0.44003	129.85	0.095740	18.299
0.44234	129.97	0.096150	18.196
0.44470	130.11	0.096560	18.091
0.45400	130.78	0.098080	17.680
0.46380	131.56	0.099600	17.253
0.47365	132.46	0.10102	16.831
0.48490	133.13	0.10290	16.357
0.49680	133.81	0.10489	15.864
0.50480	134.70	0.10588	15.538
0.51270	135.49	0.10691	15.219
0.52460	136.30	0.10874	14.744
0.53650	137.17	0.11050	14.277
0.54450	137.96	0.11151	13.968
0.56840	139.42	0.11518	13.061
0.58030	140.21	0.11693	12.620
0.59220	141.00	0.11866	12.186
0.60410	141.90	0.12028	11.757
0.62000	142.58	0.12285	11.195
0.63190	143.48	0.12443	10.781
0.64380	144.16	0.12617	10.373
0.65570	144.95	0.12780	9.9700
0.67066	146.00	0.12978	9.4710
0.68496	147.00	0.13164	9.0010
0.69947	148.00	0.13352	8.5300
0.71419	149.00	0.13542	8.0600
0.72911	150.00	0.13733	7.5900
0.74425	151.00	0.13925	7.1190
0.75960	152.00	0.14119	6.6480
0.77517	153.00	0.14314	6.1780
0.79096	154.00	0.14511	5.7070
0.80696	155.00	0.14709	5.2360
0.82319	156.00	0.14908	4.7650
0.83964	157.00	0.15109	4.2940
